Course Name,Link,HRCM Areas,Keywords,Target Problems,Target Feelings,Beliief Targets,Action Suggestion,Difficulty,Duration
Wealth Mastery - Lesson 1: Recognizing your Money Blocks,https://www.miteshkhatri.com/MoneyAssessment,"Money, Health","wealth, money blocks, mindset","scarcity mindset, self-doubt, fear of loss","anxious about money, feeling stuck",I can identify and release my money blocks,Write down your top 5 limiting beliefs about money and reframe them,Beginner,20 min
Wealth Mastery - Lesson 2: Release Negative Money Frequency with EFT,https://www.miteshkhatri.com/MoneyEFT,"Money, Mindset","EFT, emotional healing, abundance","stress about finances, negative vibrations","overwhelmed, low vibration",My emotions are aligned with wealth energy,Practice EFT tapping daily for 5 mins,Beginner,15 min
Wealth Mastery - Lesson 3: Happy Millionaire Emotions,https://www.miteshkhatri.com/MoneyBeliefs,"Money, Career","happiness, emotion shift, abundance",emotional instability about money,"insecure, jealous of others’ success",I feel happy and grateful for my financial growth,Practice gratitude journaling for money,Intermediate,25 min
Wealth Mastery - Lesson 4: Happy Millionaire Beliefs,https://www.miteshkhatri.com/MoneyEmotions,"Money, Career","belief, reprogramming, subconscious","negative beliefs, low self-worth","doubtful, unworthy",I deserve to be wealthy and abundant,Repeat affirmations daily,Intermediate,30 min
Wealth Mastery - Lesson 5: Happy Millionaire Actions,https://www.miteshkhatri.com/MoneyActions,Money,"action, consistency, discipline","lack of direction, procrastination","lazy, demotivated",Consistent actions attract results,Take one small financial action today,Beginner,20 min
Wealth Mastery - Lesson 6: Attracting Ultimate Financial Freedom with SDE,https://www.miteshkhatri.com/FinancialFreedom,"Money, Career","freedom, income growth, strategy",dependency on one income,"stuck, frustrated",I am capable of achieving financial freedom,Learn SDE and create a personal financial plan,Advanced,45 min
Wealth Mastery - Lesson 7: Multiple Money Making Skills,https://www.miteshkhatri.com/MSI,"Money, Clarity","multiple income, skills, growth","relying on single source, fear of failure","uncertain, fearful",I can develop multiple income streams,Learn 1 new income-generating skill,Intermediate,35 min
Wealth Mastery - Lesson 8: Match your Needs with Your Goals,https://www.miteshkhatri.com/MoneyNeeds,"Career, Wealth","goals, balance, alignment","unclear priorities, overworking","confused, drained",My goals and needs are aligned,Create a needs-goals alignment list,Beginner,25 min
Wealth Mastery - Lesson 9: Write Your 1st Book Fast and Easy,https://www.miteshkhatri.com/BookWriting,"Money, Mindset","writing, publishing, authority","fear of failure, self-doubt","overwhelmed, perfectionist",I can share my knowledge confidently,Write one page daily,Intermediate,40 min
Wealth Mastery - Lesson 10: Changing your Emotional Frequency for Money,https://www.miteshkhatri.com/WML10,Money,"frequency, emotion, energy","stuck emotions, low energy","heavy, negative",I vibrate at a high frequency of abundance,Practice breathing and visualization,Beginner,20 min
Wealth Mastery - Lesson 11: PMDSPM System to Manage Money,https://www.miteshkhatri.com/PMDSPM,"Health, Money","management, planning, savings","no savings, overspending","guilty, careless",I manage my money with discipline,Use PMDSPM for budgeting,Intermediate,30 min
Wealth Mastery - Lesson 12: Coherence Breathing,https://www.miteshkhatri.com/CoherenceBreathing,"Career, Money","breathing, calm, focus","stress, anxiety, lack of focus","restless, panicky",I am calm and centered in my financial journey,Practice coherence breathing twice daily,Beginner,15 min
Wealth Mastery - Lesson 13: Decision Making,https://www.miteshkhatri.com/DecisionMaking,"Career, Business","clarity, decision, intuition","overthinking, confusion","indecisive, anxious",I make confident financial decisions,Use pros-cons method to decide,Intermediate,25 min
Wealth Mastery - Lesson 14: Sell First Make Later Fail Fast,https://www.miteshkhatri.com/WML15,"Money, Investing","entrepreneurship, sales, growth","fear of failure, perfectionism","hesitant, scared",I take action before seeking perfection,Launch your idea within 24 hours,Advanced,40 min
Wealth Mastery - Lesson 15: How to Invest & Multiply your Money like a Millionaire,https://www.miteshkhatri.com/WML16,"Money, Mindset","investment, growth, wealth"," inconsistency, fear of investing, lack of knowledge","distracted, unmotivated",I am a smart investor,Start SIP or ETF this week,Intermediate,35 min
Wealth Mastery - Lesson 16: Maintain Millionaire Frequency with 5 Beliefs,https://www.miteshkhatri.com/MoneyIndu,"Money, Finance","belief system, abundance",lack of financial awareness,"confused, dependent",I maintain my millionaire mindset daily,Review 5 core beliefs weekly,Intermediate,25 min
Wealth Mastery - Lesson 17: Complete Investment Guide by Indu Khatri,https://www.miteshkhatri.com/MoneyVastu,"Money, Home","vastu, energy, alignment","home imbalance, blocked flow","restless, chaotic",I understand how to manage my investments,"Watch full guide and take notes,Apply 3 vastu tips in your home",Advanced,20 min
